"date","time","size","version","os","country","ip_id"
"2022-12-19","11:52:00",391,"4.2.2","osx","IT",147
"2022-12-19","11:52:00",1041988,"4.2.2","osx","IT",147
"2022-12-19","11:52:20",1048569,"4.2.2","osx","IT",147
"2022-12-19","11:52:16",90303319,"4.2.2","osx",NA,13
"2022-12-19","11:52:20",90307995,"4.2.2","osx","IN",148
"2022-12-19","11:52:21",389,"4.2.2","osx","IT",147
"2022-12-19","11:52:28",79538109,"4.2.2","win","US",149
"2022-12-19","11:52:32",79538104,"4.2.2","win","US",86
"2022-12-19","11:52:31",91924164,"4.1.3","osx","US",14
"2022-12-19","11:52:32",81963778,"devel","win","US",150
"2022-12-19","11:52:39",90304622,"4.2.2","osx","GB",151
"2022-12-19","11:52:32",90635520,"4.1.3","win","US",152
"2022-12-19","11:52:43",79627246,"4.2.2","win","AZ",153
"2022-12-19","11:52:49",90304111,"4.2.2","osx",NA,13
"2022-12-19","11:52:42",90309969,"4.2.2","osx","IT",147
"2022-12-19","11:52:50",79629541,"4.2.2","win","UA",154
"2022-12-19","11:52:59",79627091,"4.2.2","win","DE",155
"2022-12-19","11:53:05",79630727,"4.2.2","win","BE",156
"2022-12-19","11:53:05",79538108,"4.2.2","win","CN",142
"2022-12-19","11:53:06",79627379,"4.2.2","win",NA,13
"2022-12-19","11:53:08",92688889,"4.2.2","osx","US",61
"2022-12-19","11:53:18",79538109,"4.2.2","win","CN",157
"2022-12-19","11:53:20",92688890,"4.2.2","osx","US",158
"2022-12-19","11:53:11",79631475,"4.2.2","win","CA",159
"2022-12-19","11:53:06",79627948,"4.2.2","win","PL",160
"2022-12-19","11:53:27",79628018,"4.2.2","win",NA,13
"2022-12-19","11:53:21",92792394,"4.2.2","osx",NA,13
"2022-12-19","11:53:26",92688890,"4.2.2","osx","US",10
"2022-12-19","11:53:23",90308278,"4.2.2","osx",NA,13
"2022-12-19","11:53:16",79627137,"4.2.2","win",NA,13
"2022-12-19","11:53:25",90308876,"4.2.2","osx",NA,13
"2022-12-19","11:53:37",79627021,"4.2.2","win","TR",161
"2022-12-19","11:53:33",79626569,"4.2.2","win","GB",162
"2022-12-19","11:53:37",79627451,"4.2.2","win",NA,13
"2022-12-19","11:53:43",79625913,"4.2.2","win","GB",162
"2022-12-19","11:53:33",34025437,"4.2.2","src","BR",163
"2022-12-19","11:53:49",90304533,"4.2.2","osx","SE",164
"2022-12-19","11:53:53",34025396,"4.2.2","src","LV",165
"2022-12-19","11:53:43",79633596,"4.2.2","win","PK",166
"2022-12-19","11:53:55",79538104,"4.2.2","win","HK",96
"2022-12-19","11:54:02",79538109,"4.2.2","win","IT",167
"2022-12-19","11:54:10",79627020,"4.2.2","win",NA,13
"2022-12-19","11:54:02",81963780,"devel","win","DE",168
"2022-12-19","11:54:34",92791815,"4.2.2","osx","GB",169
"2022-12-19","11:54:31",79538104,"4.2.2","win","US",170
"2022-12-19","11:54:39",90825198,"4.1.2","osx","US",171
"2022-12-19","11:54:53",92688890,"4.2.2","osx","US",65
"2022-12-19","11:55:04",79626980,"4.2.2","win",NA,13
"2022-12-19","11:55:10",92688890,"4.2.2","osx","US",10
"2022-12-19","11:55:13",10562540,"4.2.2","win","VN",172
"2022-12-19","11:55:26",79626139,"4.2.2","win",NA,13
"2022-12-19","11:55:27",92688890,"4.2.2","osx","US",10
"2022-12-19","11:55:32",79538105,"4.2.2","win","BR",173
"2022-12-19","11:55:32",92688890,"4.2.2","osx","US",10
"2022-12-19","11:56:10",79630258,"4.2.2","win","TR",143
"2022-12-19","18:46:14",79538104,"4.2.2","win","DE",83
"2022-12-19","18:46:11",34025324,"4.2.2","src","ES",174
"2022-12-19","18:46:19",79626757,"4.2.2","win","IN",175
"2022-12-19","18:46:23",79640734,"4.2.2","win","US",176
"2022-12-19","18:46:21",86429685,"3.6.3","win","DE",177
"2022-12-19","18:46:29",92688891,"4.2.2","osx","US",178
"2022-12-19","18:46:28",92795302,"4.2.2","osx","US",179
"2022-12-19","18:46:29",79628420,"4.2.2","win","CA",180
"2022-12-19","18:46:33",4199706,"4.2.2","osx","US",181
"2022-12-19","18:46:41",79538104,"4.2.2","win","HK",96
"2022-12-19","18:46:43",90635521,"4.1.3","win","HK",182
"2022-12-19","18:46:44",79627001,"4.2.2","win",NA,13
"2022-12-19","18:46:39",91924164,"4.1.3","osx","US",178
"2022-12-19","18:46:36",92792503,"4.2.2","osx","ID",183
"2022-12-19","18:46:44",86429687,"3.6.3","win","HK",182
"2022-12-19","18:46:41",90635519,"4.1.3","win","US",184
"2022-12-19","18:46:47",79625878,"4.2.2","win","US",185
"2022-12-19","18:47:01",79628332,"4.2.2","win","MX",186
"2022-12-19","18:46:55",92688891,"4.2.2","osx","US",65
"2022-12-19","18:47:08",79626820,"4.2.2","win",NA,13
"2022-12-19","18:47:04",90304361,"4.2.2","osx",NA,13
"2022-12-19","18:47:11",90304882,"4.2.2","osx",NA,13
"2022-12-19","18:47:09",90825201,"4.1.2","osx","US",10
"2022-12-19","18:47:08",58629999,"4.2.2","osx","US",187
"2022-12-19","18:44:51",92792394,"4.2.2","osx","CA",188
"2022-12-19","18:47:14",90825202,"4.1.2","osx","US",65
"2022-12-19","18:47:13",91924166,"4.1.3","osx","US",98
"2022-12-19","18:47:13",79538109,"4.2.2","win","US",189
"2022-12-19","18:47:06",92793887,"4.2.2","osx",NA,13
"2022-12-19","18:47:06",79626875,"4.2.2","win","US",190
"2022-12-19","18:47:25",92799296,"4.2.2","osx","US",181
"2022-12-19","18:47:29",81774940,"3.6.3","osx","US",98
"2022-12-19","18:47:37",90304577,"4.2.2","osx","US",191
"2022-12-19","18:47:25",79538109,"4.2.2","win","CL",192
"2022-12-19","18:47:36",79538104,"4.2.2","win","US",193
"2022-12-19","18:47:28",79627228,"4.2.2","win","ES",194
"2022-12-19","18:47:36",92792770,"4.2.2","osx",NA,13
"2022-12-19","18:47:23",79630278,"4.2.2","win","PK",195
"2022-12-19","18:47:38",92688891,"4.2.2","osx","US",65
"2022-12-19","18:47:35",90306870,"4.2.2","osx",NA,13
"2022-12-19","18:47:40",79626469,"4.2.2","win","BR",196
"2022-12-19","18:47:35",79629962,"4.2.2","win","TR",197
"2022-12-19","18:47:32",79633006,"4.2.2","win","US",198
"2022-12-19","18:47:48",79628521,"4.2.2","win",NA,13
"2022-12-19","18:47:59",92688891,"4.2.2","osx","US",199
"2022-12-19","18:48:10",92688889,"4.2.2","osx","US",61
"2022-12-19","18:48:12",79538104,"4.2.2","win","HK",96
"2022-12-19","18:48:17",79628875,"4.2.2","win","US",200
"2022-12-19","18:48:16",79632493,"4.2.2","win","US",201
"2022-12-19","18:48:20",90303883,"4.2.2","osx","US",202
"2022-12-19","18:48:21",79627174,"4.2.2","win","RU",203
"2022-12-19","18:46:15",34025498,"4.2.2","src","CA",204
"2022-12-19","18:48:34",79538105,"4.2.2","win","US",205
"2022-12-19","18:48:47",90305449,"4.2.2","osx","ZA",206
"2022-12-19","18:48:43",92688889,"4.2.2","osx","US",87
"2022-12-19","18:48:46",79630743,"4.2.2","win","MX",207
"2022-12-19","18:48:53",79538101,"4.2.2","win","US",208
"2022-12-19","18:48:58",90825202,"4.1.2","osx","US",78
"2022-12-19","18:48:05",90308663,"4.2.2","osx",NA,13
"2022-12-19","18:49:07",90309034,"4.2.2","osx","MX",209
"2022-12-19","18:49:21",92688891,"4.2.2","osx","US",210
"2022-12-19","18:49:20",79538108,"4.2.2","win","HK",211
"2022-12-19","18:49:26",1018942,"4.2.2","src","US",212
"2022-12-19","18:49:34",79626659,"4.2.2","win",NA,13
"2022-12-19","18:49:25",18784204,"4.2.2","win","PK",213
"2022-12-19","18:49:28",81971167,"devel","win","US",208
"2022-12-19","18:49:42",79627885,"4.2.2","win","US",214
"2022-12-19","18:49:40",92791025,"4.2.2","osx",NA,13
"2022-12-19","18:49:56",90825202,"4.1.2","osx","US",65
"2022-12-19","18:49:48",2206773,"4.2.2","src","US",212
"2022-12-19","18:49:44",92688891,"4.2.2","osx","US",14
"2022-12-19","18:49:56",92688891,"4.2.2","osx","US",65
"2022-12-19","18:49:55",90635521,"4.1.3","win","US",215
"2022-12-19","18:49:59",81774943,"3.6.3","osx","US",98
"2022-12-19","18:50:05",86429688,"3.6.3","win","DE",177
"2022-12-19","18:47:34",79538105,"4.2.2","win","US",84
"2022-12-19","18:50:00",79538103,"4.2.2","win","US",216
"2022-12-19","18:50:15",79627174,"4.2.2","win","CR",217
"2022-12-19","18:50:12",79626129,"4.2.2","win","JP",218
"2022-12-19","18:50:29",34025553,"4.2.2","src","DK",219
"2022-12-19","18:50:21",79626594,"4.2.2","win","KR",220
"2022-12-19","18:50:34",79538109,"4.2.2","win","US",221
"2022-12-19","18:50:36",79626931,"4.2.2","win","CO",222
"2022-12-19","18:50:39",79627038,"4.2.2","win","US",223
"2022-12-19","18:50:33",79538110,"4.2.2","win",NA,13
"2022-12-19","18:50:48",92792942,"4.2.2","osx","US",202
"2022-12-19","18:50:36",92792893,"4.2.2","osx","ES",224
"2022-12-19","18:50:46",79632868,"4.2.2","win","US",225
"2022-12-19","18:50:48",37629240,"4.2.0","src","CA",226
"2022-12-19","18:48:06",92688890,"4.2.2","osx","US",227
"2022-12-19","18:51:03",90304583,"4.2.2","osx","US",228
"2022-12-19","18:51:09",92688890,"4.2.2","osx","US",10
"2022-12-19","18:51:21",79625860,"4.2.2","win",NA,13
"2022-12-19","10:26:14",79634369,"4.2.2","win","CN",229
"2022-12-19","10:26:21",79538106,"4.2.2","win","US",230
"2022-12-19","10:26:26",92688891,"4.2.2","osx","US",231
"2022-12-19","10:26:13",79538101,"4.2.2","win","US",232
"2022-12-19","10:26:20",92688890,"4.2.2","osx","US",233
"2022-12-19","10:26:28",92688890,"4.2.2","osx","US",234
"2022-12-19","10:26:34",79538109,"4.2.2","win","US",235
"2022-12-19","10:26:28",79538110,"4.2.2","win","AT",236
"2022-12-19","10:26:37",90825198,"4.1.2","osx","US",237
"2022-12-19","10:26:32",79626199,"4.2.2","win","TR",238
"2022-12-19","10:26:47",94020111,"4.2.1","osx","US",14
"2022-12-19","10:26:54",79631177,"4.2.2","win",NA,13
"2022-12-19","10:27:02",92794651,"4.2.2","osx","KR",239
"2022-12-19","10:27:09",90305323,"4.2.2","osx","ES",240
"2022-12-19","10:27:07",79626541,"4.2.2","win","NL",241
"2022-12-19","10:27:17",92688890,"4.2.2","osx","US",65
"2022-12-19","10:27:22",79626903,"4.2.2","win","DE",242
"2022-12-19","10:27:30",79538105,"4.2.2","win","US",243
"2022-12-19","10:27:30",90304705,"4.2.2","osx","DE",244
"2022-12-19","10:27:33",74973255,"3.3.3","osx","MA",245
"2022-12-19","10:27:37",79627118,"4.2.2","win","TR",246
"2022-12-19","10:27:32",79626947,"4.2.2","win","ES",247
"2022-12-19","10:27:40",90304497,"4.2.2","osx","ES",248
"2022-12-19","10:27:40",79538110,"4.2.2","win",NA,13
"2022-12-19","10:27:43",92688891,"4.2.2","osx","US",10
"2022-12-19","10:27:49",79538109,"4.2.2","win",NA,13
"2022-12-19","10:27:47",79633247,"4.2.2","win","GB",249
"2022-12-19","10:27:49",79627828,"4.2.2","win","AU",250
"2022-12-19","10:27:56",79633508,"4.2.2","win","TR",251
"2022-12-19","10:28:05",90635520,"4.1.3","win","US",252
"2022-12-19","10:28:05",91924168,"4.1.3","osx","US",93
"2022-12-19","10:28:07",86429689,"3.6.3","win","US",86
"2022-12-19","10:28:23",92688890,"4.2.2","osx","US",253
"2022-12-19","10:28:24",79538104,"4.2.2","win","US",254
"2022-12-19","10:28:30",92796395,"4.2.2","osx","CH",255
"2022-12-19","10:28:34",90304286,"4.2.2","osx","MA",245
"2022-12-19","10:28:34",86429688,"3.6.3","win","DE",51
"2022-12-19","10:29:01",92688890,"4.2.2","osx","US",256
"2022-12-19","10:28:22",11700671,"4.2.2","win","ZA",257
"2022-12-19","10:29:14",79629667,"4.2.2","win","DE",258
"2022-12-19","10:29:15",92688890,"4.2.2","osx","US",87
"2022-12-19","10:29:20",79626490,"4.2.2","win","CZ",259
"2022-12-19","10:29:13",79628505,"4.2.2","win","GB",260
"2022-12-19","10:29:21",92688890,"4.2.2","osx","US",87
"2022-12-19","10:29:24",79626615,"4.2.2","win","CH",261
"2022-12-19","10:29:27",92688890,"4.2.2","osx","US",14
"2022-12-19","10:29:41",79626634,"4.2.2","win","GB",262
"2022-12-19","10:29:38",92793294,"4.2.2","osx","NO",263
"2022-12-19","10:29:47",538942,"4.2.2","osx","GB",264
"2022-12-19","10:29:47",503014,"4.2.2","osx","GB",264
"2022-12-19","10:29:50",90825201,"4.1.2","osx","US",82
"2022-12-19","10:29:56",90739221,"4.1.3","win","GB",265
"2022-12-19","10:30:08",15465947,"4.2.2","win","ZA",257
"2022-12-19","10:30:07",79627163,"4.2.2","win","DE",266
"2022-12-19","10:30:24",90304345,"4.2.2","osx","CH",267
"2022-12-19","10:30:25",79538110,"4.2.2","win","GB",268
"2022-12-19","10:30:24",79538108,"4.2.2","win","CN",269
"2022-12-19","10:30:23",92800233,"4.2.2","osx","SE",270
"2022-12-19","10:30:37",92688890,"4.2.2","osx","US",87
"2022-12-19","10:30:44",79627137,"4.2.2","win","RU",271
"2022-12-19","10:30:52",92792871,"4.2.2","osx","CH",267
"2022-12-19","10:30:31",79538106,"4.2.2","win","US",272
"2022-12-19","10:30:49",90825201,"4.1.2","osx","US",273
"2022-12-19","10:30:55",79631862,"4.2.2","win","GB",274
"2022-12-19","10:31:07",79538110,"4.2.2","win","ES",275
"2022-12-19","04:36:18",79538103,"4.2.2","win","US",254
"2022-12-19","04:36:22",79628027,"4.2.2","win","MY",276
"2022-12-19","04:36:22",79626712,"4.2.2","win",NA,13
"2022-12-19","04:36:43",90825201,"4.1.2","osx","US",277
